★游戏内的注释编号对应的词语,,
#DATANO,0,1
#DATATYPE,S,S
,注释名称,注释上标
0,占位符,右键查看注释
1,格雷西家族,右键查看注释
2,ARENA,右键查看注释
3,炸猪排套餐,右键查看注释
4,冬阴功咖喱,右键查看注释
5,鳗鱼,右键查看注释
6,味噌猪排盖饭,右键查看注释
7,芝士焗饭,右键查看注释
8,法式巧克力长条泡芙,右键查看注释
9,盐味拉面,右键查看注释
10,酱油拉面,右键查看注释
11,南蛮炸鸡套餐,右键查看注释
12,卷面,右键查看注释
13,玛格丽特披萨,右键查看注释
14,火腿热狗,右键查看注释
15,炸牡蛎套餐,右键查看注释
16,台湾特产,右键查看注释
17,猪肉味噌汤配纳豆的套餐,右键查看注释
18,猪排咖喱饭,右键查看注释
19,混合烤肉套餐,右键查看注释
20,生鸡蛋拌饭套餐,右键查看注释
21,Hurry up!,右键查看注释
22,认真来场,右键查看注释
23,快嘴约翰,右键查看注释
24,Just,右键查看注释
25,Crazy,右键查看注释
26,年糕小豆汤,右键查看注释
27,铃木,右键查看注释
28,BLT三明治,右键查看注释
29,闭上眼睛,右键查看注释
30,赤福,右键查看注释
31,如其情兮,右键查看注释
